ENSXETG00000020444,ENSXETG00000034361,ENSXETG00000027596,ENSXETG00000016681,ENSXETG00000040503,ENSXETG00000016572,ENSXETG00000009516,ENSXETG00000001339,ENSXETG00000011825,ENSXETG00000014751,ENSXETG00000039639,ENSXETG00000000488,ENSXETG00000016385,ENSXETG00000027751,ENSXETG00000007390,ENSXETG00000024684,ENSXETG00000046081,ENSXETG00000017402,ENSXETG00000023384,ENSXETG00000005347,ENSXETG00000012164,ENSXETG00000002665,ENSXETG00000010814,ENSXETG00000008512,ENSXETG00000011722,ENSXETG00000002770,ENSXETG00000014251,ENSXETG00000006391,ENSXETG00000009903,ENSXETG00000007404,ENSXETG00000011651,ENSXETG00000014771,ENSXETG00000010361,ENSXETG00000034500,ENSXETG00000044879,ENSXETG00000027727,ENSXETG00000015926,Terms
29959233,24417559,,"32144752,31173497","33015792,30928384,34559577,33495500,27660103",,"11162633,24965446,25116916,35416576","33726573,21120994,34016745,31486991","19102727,12407145,19458327",,"9756848,10858305,19439179,32796906,34324523","12037672,31957815,28409330","20059949,33039146,27666310,26783066,27203244,30411496,29557391,28381877,35271667",31355153,32796906,"14741382,22757692","25547487,30626720","24001019,30384889","22757692,33240452","26702755,28539318","34135859,31234227","27470985,26840285,24811072",22783226,32296580,"22967762,8107114,22933270,29724888,29898807,28265575",,"10629049,10675337,10984507,12244100,14532282,19131338,19188440,20200153,21285374,23629655,33097698","23184662,10428815,26150808,20003296,26150413,26195524,23796209,20403389,28787542,34466438,33513391,32098812,30068910,29228011,30815000",,,28367977,,"21994946,12161445,11986303,20919932,20873783","28787542,33513391,30068910,16408210,34947982,11976098,27098988,26689807,28592803",,,16957778,cycle
"26962295,30111112,31425889","12644575,27672209,33403290,18614564,32241204,31995605","24312579,23116197","29849043,31173497",,,"32574681,24965446,25116916","27941623,26801685,32210829,29254211",25783682,"17081065,32860793,24284412","19439179,26030138,28712728,21507896,33729478,32116744,19253283,22118625,21734034,20536739",17643375,"24794231,26305884,33153214,33140506","25632391,30347620",,"20945367,17892558,34299332,22757692",,"23322550,31133884","12611891,27672209,34299332,22757692,18721790,29540307,26934888,26668058,19432400,32545553","19253283,24098404,35782537,29026428,33918228,33490244,22860605,21149303,35600141,34306096,32183175,30988666,29925238,23718750,29439554","28356383,32916630,26082896,23665500,24552547,31080378,16449382","20381070,20688971,20074381,25693797",24920668,"11991638,15146077,11884590,32493433,33260872,26162278","31425889,11991638,12183465,22967762,32596266,24658151,32471444,26088507",,"19131338,19815555","23116197,26082896,20074381,32596266,18000335,12543933,15998247,28685837,27257648,27110489,35215189,27602567,25555378,22615881,22288420,25141105,32817453,34071222,26195524,26687036,31671511,23796209,20547565,33513391,19360125,28036352,35211128,29342075",,34938367,"19384857,24204595,25965334,25907681",,"17081065,34130124","30111112,32817453,33513391,16215987,21173025,32420127,32476322,22046331,27573699,33553005,29117212,29436819,33841819,19575787,23691188,21569547,25663750,33271965",35265054,,"11971985,20678994",spectrometry
,29580769,,,"12710967,31655597,33143303","26550823,31638262","32694517,15895553,28903035",,19102727,27930687,"22416126,15140795,8355702,15590677,25765647,8439294,9409622",17289077,"19524571,20059949",,17239655,"28176357,18440095,31191455",,"31337710,31315980",1900194,16221301,"35585045,30259240","25151410,25479903","2050125,7592562,28765283","12975319,11302706,32243451,32039234,15575968","12093748,16564677,22570411,28193846,20890123","11375989,14640981,19592703","10629049,10871379,10984507,12235138,14532282,15199122,15705566,17998332,19188440,19815555,20200153,23629655,26522729","28267607,35164288,31671511,19360125",,,"7922339,8631310,23321469,35120969,11739746,14570900,17890166,29945054",,"21916849,22450240,18172504,12714747,8188254,8496166","32476322,22834699",,,"12676584,23508108,9430642,12477726",motif
,,,,,,,,,,33729478,"19364821,11713533,15563843,17289077,21509660,33600051,19883659,16331689,10329126,10913173,12065898,12944466,9491887,17452463","19524571,20059949,24794231,22184064,33039146,26831658,27666310,27203244,26305884,28241067,26220330,32098961,33153214,30411496,29557391,20100936",,21503958,,"21164014,25736597,25547487,30626720",,,,,,,,29898807,,,23184662,,,26891316,,,,,,,cyclin
,,16135753,28433741,"11906214,15465488,35644505,33963285,33143303","21723936,28479339,15581883,35681437",23675506,,,"35887102,28270566,24284412","21933836,19144721,33729478,17393485,34810232,25326457,32034402,33771997",,"28241067,26220330","29546593,30185885",,"26515131,20036644,26792178,30890756",28613156,"16809425,31337710,24908109,33871019","25594180,34040028,32331968,31888678,19432400","18452710,17190607,29925238,24188528","33731672,29453425","22930593,31168311,32543048,35268596",,21516107,"33174841,26823915",,"17578910,23000143","23008267,18222016,28685837,22987813",,"33034629,27756895",,,"35809345,29427714,21562855,25640076,21871553",,,,31272713,neuron
,,,25105228,"19890851,16510503,22577225,14645121,7898305,23139843,22011226,32277752,25999792,17872382","15672396,21723936,23571216,28479339,18158147,20573696,19007769,17239227,15581883,23747543","27404450,29525604","27287801,28002843,21911385",26394147,"14579377,15489334","17393485,24523552",,,,,24608635,,,,"24732964,20047682,23308156","12941645,28900183",32543048,"16446107,29954941",32493433,,,"25281006,32522152",16525935,,,,,"29518406,28231391",33547280,,,"17997606,18248177,18295965",zebrafish
,,,,,"18056716,19393622,24042587,16115867,15383550,12815054,19497851,18498429,27416760,17335796,17027239,17051482,15672396,12895028,21503878,26512061,21270050,25954033,29901112,15456894,24858471,15581883,30297736,26685160,27335460,23382810",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dlx5
,"12111463,18614564",24312579,29198722,"15672400,35644505,33143303","23571216,28479339,35681437","23675506,27404450,29525604",,,35887102,"32286661,16767080,21933836,17393485,34810232,25326457,32034402,33771997",,"28241067,35271667","26991250,30185885",,"28176357,26515131,14656991,29476059","12221279,22617447",23801983,"12611891,25594180,34040028,31888678","19296525,17190607,22860605,19469553,29900121","33731672,29453425","31168311,32543048",,,"33174841,26823915,18575609",,32522152,22987813,,"33492732,27756895",17289661,,"35809345,22166015,21850687,29427714,21562855,21526488,21871553,33889951",17360499,,,,neuronal
,21695218,"18695251,19622630",28433741,"33015792,35417297,33386644,30928384,14645121,32838760,25999792,33963285,34143204,18385377,17597530,18057103","18056716,19393622,24042587,12815054,17027239,12895028,26836061,21937107,18322277,29901112,29246798,26674964","33686586,32574681,20015864,32694517,29467488,24147004",,20563989,,"26571461,10847580,16767080,28712728,22669741","17289077,21509660,12944466,27189267","20059949,33039146",30185885,,26792178,"21164013,18973346",28473402,29540307,"7876104,11932413,19469553,28539318",29530978,20074381,"35911972,35637209,23666536,32195236,21602352,33780465,28765283",27721687,"12093748,16564677,22570411,25418729,19596686,35455958,29898807,24658151,26305539",16162498,"14532282,19815555,20200153,23000143,23353889,23629655,33517344,31693902,33050986,31227231","20074381,24648518,31835328",21667333,,"18636753,35120969,11739746,17890166,28625552,25918244,35013429",,"20919932,17707404,28529127,25204677","15371445,2852136,16157662,32605139,33188200,23834507",,,"19039140,24529706",regulator
"11841538,20031617,22781308,31425889,29959233,27213757,35563075","1712754,24456990,20801516",28293639,"35749873,28433741,26706854,25105228","28293639,34791963,8643671,32277752,27957775,18385377",,"32694517,30890743,27404450,31552903,32873862","27355534,31486991,26801685",,28270566,"21933836,32468006,23793017,33284322,33771997",,35271667,30717652,,"10526337,10781099,14656991,16027166,16091362,34416235","11771749,17893145","30384889,34231238,29186753,23801983,29581457,28473402","12611891,12616398,19107570,34384932,32070771,34849584,32331968,31888678,19432400","31552903,24188528",34135859,"20381070,26072516,28934368,31819004,21464306,24169046","19731322,21309041,21653323,32499479,8107717,35911972,24821812,29954941",,"31425889,32575635","16162498,20410308","33517344,25281006","23001565,31620020,23105821",,"33492732,35075790",32636874,,"32185676,23796494,21969592,33889951","23105821,33547280,32882370,21383540,34273022,32817651",,,"12709428,19039140",disorder
,25853266,"35154294,28293639,19609968",,28293639,"18498429,34508305",18306214,"24731717,33760186,32112990","15505029,25627686",8798450,32468006,,"29557391,34337171",,"16271702,22837305",,25547487,,,"23807296,30787051,24704991","24676454,12941645,31234227,31261804,31635106,28315483",,"33307066,18929534,18760763,23348515,2050125,2095458,28636309",33260872,"24658151,32548489",,31227231,"18973667,29433420,35570264,25545414",,,24204595,,"29804005,22450240","33592076,34976870",,,31851938,liver
,,,,,,,,,,,,,,,,,,,,,,,,,,"10629049,10779346,10976766,10984507,12235138,12244100,12670868,14532282,15190068,15199122,16624878,17578910,19131338,19188440,19815555,20200153,21285374,23629655,28302723,33050986,33097698,31227231,30224358,26522729",,,,,,,,,,,hcf-1
32325910,,15220430,,26985665,,"24823948,31217244,21159877,30666459,33208942,31694956,31363119,31608791,28903035,24965446",,,,30270045,"17289077,21509660,10364329,12944466,27189267,9491887",,,,,,,"31391270,31938350","11932413,35600141",,,,"27721687,32748085","23825951,22933270,31723020,18575609,32575635",,"10675337,10779346,10871379,10984507,12235138,12244100,17578910,21285374,9271389,9334261",27257648,,,"14570900,15254228,21123651,26891316,28625552,35013429,31701124,25929241,30428365,25965334",,21526488,"8253832,32476322,32817722",,,,viral
,30340410,,,,,,,,,,,,,,,,,,,,26360774,21687966,,,,,"26360774,15998247,20547565,29176891",,,,,"20144717,8554614,17329258,12714748,17519234,18172504,11986303,12913160,20919932,21287625,27239855,11877442,17707404,19462976,21850687,29427714,20807727,19064914,25204677,25808059,25906064,33889951,23124252,20356456,15824112,29554571,1383159,15163410,15210711,15706081,18271751,2895105,7961686,8344960,12529539","22163185,22834699,23691188,31906144,33271965",,,,peroxidase
,,,,33495500,,,,,,,,25188325,,,,,,,,34679046,"25151410,19114004",,,,,,"19114004,26687036,26129968,19132089,35164288,31671511,23796209,22059956,20403389,33688012,27239333,35570264,28787542,25545414,29176891,24699271,32628683,33513391,34001441,32098812,31295423,30068910,29451780,19360125,34486252,27228164,28972996,29228011,30815000",,,,,"25906064,29554571","28787542,33513391,30068910,19740108,33592076,34039408,25240600,34718455,26689807,19575787","18325611,35811673",,,parasite
"29034528,30479852,32331315,32325910,31425889","19487983,21695218,32272486,27907124",28077931,,,29246798,"31793855,30890743,31676851",,,,"30270045,19439179,20932480,28712728,32116744,34324523",,,31355153,15699139,,,,"31391270,19432400","3500230,35414502,20003521,33918228,33255149,34207643,33349268,27646125","28356383,32916630,26082896,31635106,34679046","27053151,23842751,27470985,31797905,30005605","17555569,35158652",34200738,"31425889,31676851,25418729,31723020,18575609,29702669,32471444,26088507",,,"26082896,18627462,32817453,29176891,32295617,29228011",,,"33255149,28625552,34110282,24204595,35013429,25741220,25929241,30428365,32636874",,"22450240,29518406,29554571","32817453,25240600,34976870",22046314,,,immune
,"3141400,25853266",,,,,,,,,"30270045,20536739",,35271667,35892672,,,,,,"35892672,24732964",30305605,,"33307066,22070747,21044876,20015225,18929534,25482442,24920668,25240868,26511319,10577279,12393718,14643893,1570328,16446107,19731322,21252495,21309041,21653323,32499479,8107717,20087844,23348515,1577484,2050125,2095458,7592562,22293958,35911972,24821812,21600186,19917609,35637209,28257485,21498770,33626217,28810712",,29724888,,,"15998247,22615881,26438063,26195524,31671511",,,31536826,,"20807727,20356456","17360499,18067580,14622290,14675757,16215987,16600425,34273022,34947982,33044977,27098988,33592076",,,,synthase
,11454754,15220430,,"15672400,26985665",35220830,"24823948,31793855,11729309,12628186,15642345,16818237,21159877,16420440,31694956",16540541,,24284412,"16239143,30270045,11525732,16767080,17537995,25765647",16109376,"26831658,34337171",,"16244664,11790253",26515131,,30409805,32918239,"20883646,22860605","23665500,35122182",25693797,,"21516107,23620288","18775702,35455958,26088507","16162498,11375989,14640981","12235138,21285374,23629655,31693902","24648518,28685837,22987813,26687036,23796209",,,"10749851,14570900,17289661,17890166,28625552,26121143",,"16102003,16134099","10944119,17187778,19379712,8253832,21750984,20018887","21151342,22046314",12773398,"11250900,11971985,12477726,31272713,16189181,20678994",nucleus
"26962295,32325910,26104117","24456990,21695218,32241204,31995605,26298201,18631365,28877183",19289464,"35749873,29849043","27957775,33963285","34508305,35681437","27404450,25096996,32873862",31486991,,"29967323,26191006",10931916,27189267,"33140506,35271667",25632391,22837305,,,"30384889,33299887,31133884","32918239,34384932,32070771,31408947,33752971,26668058,33240452",33255149,"31234227,28315483","25096996,19114004,27470985,32575356,24811072","35911972,28636309,35158652,32804944,32195236,32269553,31732577,22783226,33361324",,"28555196,32596266",,33517344,"19114004,32596266,31620020,33083141,29433420,27602567,26150808,30553726,26195524,26465331,26687036,31671511,33920578,31374363,20547565,31935846,34466438,19360125,29890774",,32111039,"33255149,35614067",,"28391163,32185676,12714748,20807727","33188200,32435206,30113774,31015652,25240600,33255918,20496099,25410248",24391152,,"19481530,24529706,31851938,17997606",metabolic
30935896,"29580769,28981788",,25105228,"19890851,22508046,16961590,14645121,17670791,33999993,12710967,24056062,29440302,23145006,25999792,33896883,17872382","21086490,27416760,17027239,12895028,22318231,18158147,11172008,15456894,31638262,35909540,27335460","24503594,27404450","15649459,19224982,21911385","19141675,20563989,24733397,26394147",,"19144721,17393485,32116744",19364821,"20059949,20100936",,,,21852956,"12135771,22927069",,"24732964,28539318",,,25482442,"32243451,32735576",24027268,,,"16525935,30375416,29342075",,,"18636753,19384857",,"8914536,27239855,28231391",32476322,,,18295965,embryo
32325910,,,28163244,33386644,,"18039846,20015864,20538007,11163245,11830591,15287743,16341127,17557114,29467488,14964690,31676851",,,,"15860628,11259580,11897684,21680841,21734034,22215678","16245309,24360279",,,,,,,,27646125,"28975734,28900183",,,12975319,"31676851,31021473,19596686,26088507",,"12670868,15199122,15960975,17578910,17998332,18838538,19131338,19377461,20018852,23629655,33050986,31227231",35164288,,,,,,"29117212,28592803",,,"10594042,12676584,19481530,9558366,16148126,31272713,18295965",histone
,,,,,,,,,,,,,,,,,,,,,,"33307066,21044876,20015225,18929534,25482442,25240868,26511319,14643893,18760763,21252495,21653323,32499479,2050125,2095458,7592562,33067979,22293958,24821812,19917609,29954941,35637209,23666536,21687966,21602352,28765283",,,,,"27602567,25545414",,,,,,"2656688,2852136,3062365,3540607,32420127,26689807",,,,heme
"15941723,22152112,35681892","28366030,25209663,12644575,27672209,31995605",,,,18498429,"24503594,27404450,32873862,35416576","15649459,24731717,33726573",26394147,,17393485,16331689,,,,,,"22927069,21339484,26063807,30235249,30384889,30409805,31506724,23749380,28473402","12611891,27672209,18721790,29540307,26668058","29026428,24732964,20047682",33888601,,,,"32596266,32471444",,,32596266,,"34938367,30659190","31536826,22912857",,"34130124,29036266,27393003",35681892,,,,heart
,,,,,,,,,,,"19364821,11713533,12037672,15563843,17289077,21509660,19883659,10393184,10913173,12065898,12944466,16109376,16109377,17643375,27292648,9491887,24515107,18391197,17452463","22184064,20100936",,,"28176357,14656991",,,,35782537,,19114004,,,,,32479599,"19114004,18000335,23008267,18222016,17118580,16901746,23001565,23184662,24648518,21394738,16525935,18627462,10428815,12692531,15316019,15998247,17560550,22987813,24140707,18065650,28555368,26438063,26129968,22059956,35570264,31133003,35817801",,,"8631310,15254228",,20649472,"16914118,19338753,19424157,21383540,34273022,34947982,32605139,29117212",,,16957778,elongation
